,,,,, DL SUBSIDIZED ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,
00157300, GEORGIA SOUTHWESTERN STATE UNIVERSITY                                  , GA ,317094693,Public," 1,298 "," 1,344 "," $5,282,809.00 "," 1,344 "," $2,825,620.00 "," 1,249 "," 1,396 "," $5,857,866.00 "," 1,396 "," $3,096,318.00 ", 69 , 74 ," $915,920.00 ", 74 ," $468,863.00 ", 56 , 62 ," $330,527.00 ", 62 ," $170,531.00 ", -   , -   , $-   , -   , $-   
00157400, GEORGIA STATE UNIVERSITY                                               , GA ,303033010,Public," 12,364 "," 12,502 "," $52,496,176.00 "," 12,485 "," $27,320,422.00 "," 11,783 "," 12,975 "," $54,574,870.00 "," 12,945 "," $28,640,956.00 "," 3,116 "," 3,235 "," $50,523,054.00 "," 3,233 "," $26,584,446.00 ", 980 ," 1,081 "," $10,101,843.00 "," 1,079 "," $5,598,133.00 ", 380 , 451 ," $4,266,468.00 ", 451 ," $2,362,154.00 "
00157500, GORDON STATE COLLEGE                                                   , GA ,302041762,Public," 2,009 "," 2,032 "," $6,688,536.00 "," 2,034 "," $3,768,089.00 "," 1,842 "," 2,085 "," $6,563,053.00 "," 2,087 "," $3,675,269.00 ", -   , -   , $-   , -   , $-   , 56 , 58 ," $364,549.00 ", 63 ," $201,063.00 ", -   , -   , $-   , -   , $-   
00157700, KENNESAW STATE UNIVERSITY                                              , GA ,301445591,Public," 10,347 "," 10,759 "," $43,492,562.00 "," 10,748 "," $22,519,612.00 "," 9,361 "," 9,920 "," $42,086,196.00 "," 9,863 "," $21,671,575.00 ", 989 ," 1,085 "," $15,958,910.00 "," 1,084 "," $8,363,532.00 ", 520 , 565 ," $6,933,220.00 ", 565 ," $3,563,889.00 ", 48 , 54 ," $543,571.00 ", 54 ," $300,958.00 "
00157800, LAGRANGE COLLEGE                                                       , GA ,302402999,Private-Nonprofit, 570 , 576 ," $2,329,422.00 ", 576 ," $1,196,664.00 ", 620 , 701 ," $2,615,496.00 ", 701 ," $1,342,041.00 ", 71 , 74 ," $1,324,127.00 ", 74 ," $469,512.00 ", 72 , 76 ," $983,125.00 ", 76 ," $507,421.00 ", 3 , 3 ," $28,288.00 ", 3 ," $16,644.00 "
00157900, GEORGIA REGENTS UNIVERSITY                                             , GA ,309120004,Public," 2,335 "," 2,361 "," $9,530,583.00 "," 2,361 "," $4,908,773.00 "," 2,451 "," 2,582 "," $11,965,795.00 "," 2,581 "," $6,210,776.00 "," 1,809 "," 1,867 "," $52,918,133.00 "," 1,864 "," $24,625,260.00 ", 70 , 72 ," $593,235.00 ", 72 ," $293,569.00 ", 578 , 678 ," $7,590,981.00 ", 678 ," $3,264,039.00 "
00158000, MERCER UNIVERSITY                                                      , GA ,312070001,Private-Nonprofit," 2,412 "," 2,449 "," $10,474,132.00 "," 2,452 "," $5,096,896.00 "," 2,565 "," 3,038 "," $11,751,684.00 "," 3,045 "," $5,857,571.00 "," 2,546 "," 2,665 "," $59,378,617.00 "," 2,672 "," $28,312,284.00 ", 187 , 194 ," $2,286,663.00 ", 211 ," $1,228,735.00 "," 1,122 "," 1,266 "," $22,515,823.00 "," 1,292 "," $11,312,458.00 "
00158100, MIDDLE GEORGIA STATE COLLEGE                                           , GA ,310141599,Public," 3,302 "," 3,339 "," $12,934,382.00 "," 3,380 "," $6,649,189.00 "," 3,218 "," 3,654 "," $16,187,243.00 "," 3,702 "," $8,299,958.00 ", 2 , 2 ," $19,500.00 ", 2 ," $9,750.00 ", 155 , 164 ," $988,918.00 ", 178 ," $541,395.00 ", -   , -   , $-   , -   , $-   
00158200, MOREHOUSE COLLEGE                                                      , GA ,303143773,Private-Nonprofit," 1,368 "," 1,400 "," $5,933,610.00 "," 1,419 "," $3,046,378.00 "," 1,349 "," 1,520 "," $5,259,763.00 "," 1,539 "," $2,727,767.00 ", -   , -   , $-   , -   , $-   , 696 , 726 ," $19,484,277.00 ", 744 ," $9,973,790.00 ", -   , -   , $-   , -   , $-   
00158500, UNIVERSITY OF NORTH GEORGIA                                            , GA ,305970001,Public," 4,386 "," 4,439 "," $17,316,577.00 "," 4,438 "," $8,770,659.00 "," 4,527 "," 4,732 "," $20,379,190.00 "," 4,725 "," $10,282,035.00 ", 245 , 258 ," $3,862,193.00 ", 258 ," $1,834,523.00 ", 206 , 209 ," $1,534,540.00 ", 209 ," $820,045.00 ", 17 , 20 ," $95,754.00 ", 20 ," $46,479.00 "
00158600, OGLETHORPE UNIVERSITY                                                  , GA ,303192737,Private-Nonprofit, 442 , 442 ," $1,893,161.00 ", 442 ," $949,988.00 ", 470 , 471 ," $2,063,266.00 ", 471 ," $1,036,916.00 ", 1 , 1 ," $20,500.00 ", 1 ," $10,250.00 ", 66 , 66 ," $875,785.00 ", 67 ," $493,032.00 ", -   , -   , $-   , -   , $-   
00158700, PAINE COLLEGE                                                          , GA ,309013182,Private-Nonprofit, 585 , 585 ," $2,162,698.00 ", 663 ," $1,184,821.00 ", 614 ," 1,009 "," $2,705,622.00 "," 1,142 "," $1,508,934.00 ", -   , -   , $-   , -   , $-   , 61 , 62 ," $576,390.00 ", 71 ," $320,627.00 ", -   , -   , $-   , -   , $-   
00158800, PIEDMONT COLLEGE                                                       , GA ,305355644,Private-Nonprofit, 784 , 784 ," $3,307,639.00 ", 831 ," $1,781,232.00 ", 800 , 800 ," $3,264,153.00 ", 850 ," $1,798,160.00 ", 752 , 889 ," $3,695,037.00 "," 1,637 "," $3,453,605.00 ", 160 , 167 ," $1,262,722.00 ", 174 ," $669,322.00 ", -   , -   , $-   , -   , $-   
00158900, REINHARDT UNIVERSITY                                                   , GA ,301832900,Private-Nonprofit, 595 , 600 ," $2,346,812.00 ", 600 ," $1,270,239.00 ", 632 , 775 ," $2,505,280.00 ", 775 ," $1,369,053.00 ", 32 , 32 ," $449,828.00 ", 32 ," $235,164.00 ", 80 , 87 ," $892,123.00 ", 87 ," $469,159.00 ", -   , -   , $-   , -   , $-   
00159000, SAVANNAH STATE UNIVERSITY                                              , GA ,314045298,Public," 3,648 "," 3,691 "," $14,532,057.00 "," 3,717 "," $7,548,862.00 "," 3,675 "," 5,137 "," $17,836,133.00 "," 5,163 "," $9,226,783.00 ", 110 , 114 ," $1,806,320.00 ", 116 ," $979,641.00 ", 443 , 485 ," $4,046,114.00 ", 498 ," $2,151,614.00 ", 4 , 4 ," $35,306.00 ", 4 ," $23,332.00 "
00159100, SHORTER UNIVERSITY                                                     , GA ,301654298,Private-Nonprofit, 989 ," 1,000 "," $3,870,158.00 "," 1,082 "," $2,186,517.00 "," 1,056 "," 1,202 "," $5,134,420.00 "," 1,292 "," $2,907,188.00 ", 115 , 118 ," $1,354,888.00 ", 119 ," $845,524.00 ", 154 , 159 ," $1,639,994.00 ", 159 ," $854,703.00 ", -   , -   , $-   , -   , $-   
00159200, SOUTH GEORGIA STATE COLLEGE                                            , GA ,315338104,Public, 999 ," 1,031 "," $3,288,340.00 "," 1,109 "," $1,794,684.00 ", 945 ," 1,089 "," $3,372,610.00 "," 1,134 "," $1,782,882.00 ", 1 , 1 ," $4,000.00 ", 1 ," $2,000.00 ", 52 , 56 ," $266,141.00 ", 57 ," $137,772.00 ", -   , -   , $-   , -   , $-   
00159400, SPELMAN COLLEGE                                                        , GA ,303144399,Private-Nonprofit," 1,365 "," 1,366 "," $6,184,983.00 "," 1,366 "," $3,107,733.00 "," 1,381 "," 1,436 "," $5,217,324.00 "," 1,432 "," $2,626,517.00 ", -   , -   , $-   , -   , $-   , 762 , 791 ," $22,555,209.00 ", 823 ," $11,489,452.00 ", -   , -   , $-   , -   , $-   
00159600, TOCCOA FALLS COLLEGE                                                   , GA ,305980001,Private-Nonprofit, 483 , 483 ," $2,005,126.00 ", 483 ," $1,029,291.00 ", 465 , 466 ," $1,964,753.00 ", 461 ," $1,005,808.00 ", -   , -   , $-   , -   , $-   , 80 , 88 ," $569,688.00 ", 88 ," $299,461.00 ", -   , -   , $-   , -   , $-   
00159700, TRUETT MCCONNELL COLLEGE                                               , GA ,305281264,Private-Nonprofit, 365 , 367 ," $1,472,429.00 ", 384 ," $771,694.00 ", 367 , 441 ," $1,501,302.00 ", 450 ," $780,038.00 ", -   , -   , $-   , -   , $-   , 40 , 42 ," $345,178.00 ", 43 ," $175,823.00 ", -   , -   , $-   , -   , $-   
00159800, UNIVERSITY OF GEORGIA                                                  , GA ,306021661,Public," 7,164 "," 7,165 "," $29,383,505.00 "," 13,092 "," $27,499,712.00 "," 8,539 "," 8,540 "," $35,575,049.00 "," 15,438 "," $31,952,051.00 "," 3,297 "," 3,297 "," $61,811,669.00 "," 5,678 "," $49,296,385.00 "," 1,206 "," 1,231 "," $13,162,562.00 "," 2,235 "," $12,202,519.00 ", 941 , 945 ," $11,152,774.00 "," 1,691 "," $9,306,535.00 "
00159900, VALDOSTA STATE UNIVERSITY                                              , GA ,316980001,Public," 5,357 "," 5,467 "," $22,255,963.00 "," 5,468 "," $11,533,764.00 "," 5,397 "," 6,652 "," $24,921,652.00 "," 6,649 "," $13,269,832.00 "," 1,143 "," 1,240 "," $16,625,825.00 "," 1,241 "," $8,779,996.00 ", 959 ," 1,022 "," $9,618,687.00 "," 1,023 "," $5,032,957.00 ", 310 , 314 ," $1,046,874.00 ", 314 ," $569,610.00 "
00160000, WESLEYAN COLLEGE                                                       , GA ,312104462,Private-Nonprofit, 251 , 260 ," $986,302.00 ", 268 ," $524,964.00 ", 255 , 327 ," $1,095,818.00 ", 332 ," $573,739.00 ", 42 , 43 ," $744,969.00 ", 44 ," $364,505.00 ", 30 , 33 ," $270,020.00 ", 37 ," $141,878.00 ", 3 , 3 ," $5,838.00 ", 4 ," $3,580.00 "
00160100, UNIVERSITY OF WEST GEORGIA                                             , GA ,301180002,Public," 5,555 "," 5,590 "," $22,539,236.00 "," 5,587 "," $11,565,323.00 "," 5,631 "," 6,881 "," $25,422,233.00 "," 6,875 "," $13,081,779.00 "," 1,028 "," 1,053 "," $14,238,699.00 "," 1,053 "," $7,918,325.00 ", 817 , 899 ," $8,194,928.00 ", 899 ," $4,289,467.00 ", 11 , 11 ," $91,127.00 ", 11 ," $51,659.00 "
00160200, GEORGIA COLLEGE & STATE UNIVERSITY                                     , GA ,310610490,Public," 1,898 "," 1,947 "," $7,742,100.00 "," 1,947 "," $4,046,047.00 "," 2,348 "," 2,547 "," $9,623,566.00 "," 2,547 "," $5,024,668.00 ", 403 , 415 ," $6,872,572.00 ", 415 ," $3,584,381.00 ", 296 , 324 ," $3,135,716.00 ", 324 ," $1,673,388.00 ", 4 , 4 ," $67,728.00 ", 4 ," $33,865.00 "
00160400, YOUNG HARRIS COLLEGE                                                   , GA ,305824137,Private-Nonprofit, 552 , 554 ," $2,161,888.00 ", 554 ," $1,113,397.00 ", 627 , 632 ," $2,468,663.00 ", 633 ," $1,290,343.00 ", -   , -   , $-   , -   , $-   , 118 , 124 ," $1,312,354.00 ", 124 ," $695,036.00 ", -   , -   , $-   , -   , $-   
00160500, CHAMINADE UNIVERSITY OF HONOLULU                                       , HI ,968161578,Private-Nonprofit, 812 , 827 ," $3,494,737.00 ", 937 ," $1,771,490.00 ", 819 , 859 ," $4,157,012.00 ", 974 ," $2,066,275.00 ", 393 , 409 ," $6,769,034.00 ", 639 ," $3,308,419.00 ", 175 , 178 ," $2,648,168.00 ", 178 ," $1,378,389.00 ", 33 , 35 ," $453,478.00 ", 57 ," $229,192.00 "
00160600, BRIGHAM YOUNG UNIVERSITY - HAWAII                                      , HI ,967621294,Private-Nonprofit, 316 , 323 ," $1,342,944.00 ", 320 ," $613,264.00 ", 128 , 133 ," $430,633.00 ", 129 ," $250,251.00 ", -   , -   , $-   , -   , $-   , 18 , 21 ," $108,300.00 ", 21 ," $56,560.00 ", -   , -   , $-   , -   , $-   
00161000, UNIVERSITY OF HAWAII AT MANOA                                          , HI ,968222399,Public," 4,284 "," 4,284 "," $17,998,295.00 "," 4,284 "," $9,678,550.00 "," 4,093 "," 4,093 "," $17,915,480.00 "," 4,093 "," $9,564,236.00 "," 1,381 "," 1,381 "," $23,677,605.00 "," 1,381 "," $12,338,422.00 "," 1,484 "," 1,536 "," $21,203,473.00 "," 1,536 "," $11,282,833.00 ", 551 , 554 ," $6,268,229.00 ", 554 ," $3,102,795.00 "
00161100, UNIVERSITY OF HAWAII AT HILO                                           , HI ,967204091,Public," 1,250 "," 1,363 "," $5,102,372.00 "," 1,363 "," $2,873,487.00 "," 1,150 "," 1,291 "," $4,993,311.00 "," 1,288 "," $2,737,678.00 ", 389 , 413 ," $10,596,482.00 ", 413 ," $5,347,501.00 ", 60 , 63 ," $620,187.00 ", 63 ," $335,807.00 ", 218 , 251 ," $3,520,993.00 ", 251 ," $1,799,073.00 "
00161200, HONOLULU COMMUNITY COLLEGE                                             , HI ,968174598,Public, 473 , 486 ," $1,558,358.00 ", 491 ," $832,230.00 ", 292 , 330 ," $487,289.00 ", 330 ," $262,016.00 ", -   , -   , $-   , -   , $-   , 6 , 7 ," $66,290.00 ", 7 ," $34,745.00 ", -   , -   , $-   , -   , $-   
00161300, KAPIOLANI COMMUNITY COLLEGE                                            , HI ,968164421,Public, 680 , 687 ," $2,209,532.00 ", 709 ," $1,229,861.00 ", 590 , 600 ," $2,652,442.00 ", 616 ," $1,463,403.00 ", -   , -   , $-   , -   , $-   , 6 , 6 ," $45,824.00 ", 6 ," $29,613.00 ", -   , -   , $-   , -   , $-   
00161400, KAUAI COMMUNITY COLLEGE                                                , HI ,967669591,Public, 231 , 233 ," $819,325.00 ", 233 ," $418,921.00 ", 39 , 40 ," $168,110.00 ", 40 ," $87,986.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00161500, UNIVERSITY OF HAWAII MAUI COLLEGE                                      , HI ,967321644,Public," 1,078 "," 1,079 "," $3,856,687.00 "," 1,087 "," $2,048,923.00 ", 904 , 904 ," $4,585,136.00 ", 910 ," $2,378,586.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $22,888.00 ", 2 ," $11,444.00 ", -   , -   , $-   , -   , $-   
00161600, BOISE STATE UNIVERSITY                                                 , ID ,837251000,Public," 7,251 "," 7,532 "," $29,751,945.00 "," 7,516 "," $15,715,232.00 "," 6,821 "," 7,323 "," $32,265,580.00 "," 7,306 "," $17,064,226.00 ", 733 , 822 ," $10,408,052.00 ", 824 ," $5,649,002.00 ", 322 , 345 ," $4,393,056.00 ", 346 ," $2,316,194.00 ", 10 , 11 ," $63,962.00 ", 11 ," $44,464.00 "
00161700, COLLEGE OF IDAHO (THE)                                                 , ID ,836054432,Private-Nonprofit, 597 , 597 ," $2,532,099.00 ", 596 ," $1,305,860.00 ", 621 , 698 ," $2,070,624.00 ", 697 ," $1,072,469.00 ", 2 , 2 ," $11,210.00 ", 2 ," $11,210.00 ", 84 , 89 ," $982,717.00 ", 89 ," $517,544.00 ", -   , -   , $-   , -   , $-   
00161900, COLLEGE OF SOUTHERN IDAHO                                              , ID ,833033398,Public," 1,358 "," 1,375 "," $4,956,908.00 "," 1,423 "," $2,551,878.00 "," 1,125 "," 1,158 "," $4,570,018.00 "," 1,201 "," $2,368,305.00 ", -   , -   , $-   , -   , $-   , 2 , 3 ," $8,602.00 ", 3 ," $4,301.00 ", -   , -   , $-   , -   , $-   
00162000, IDAHO STATE UNIVERSITY                                                 , ID ,832095377,Public," 4,904 "," 4,913 "," $19,826,086.00 "," 4,906 "," $10,227,011.00 "," 4,352 "," 4,368 "," $21,802,411.00 "," 4,361 "," $11,203,406.00 ", 889 , 889 ," $14,298,136.00 ", 889 ," $8,055,942.00 ", 86 , 88 ," $867,382.00 ", 88 ," $440,826.00 ", 181 , 190 ," $3,262,955.00 ", 189 ," $1,268,375.00 "
00162100, LEWIS-CLARK STATE COLLEGE                                              , ID ,835012698,Public," 1,722 "," 1,722 "," $7,067,657.00 "," 1,747 "," $3,729,172.00 "," 1,514 "," 1,514 "," $7,766,988.00 "," 1,538 "," $4,087,678.00 ", -   , -   , $-   , -   , $-   , 42 , 42 ," $381,189.00 ", 43 ," $203,651.00 ", -   , -   , $-   , -   , $-   
00162300, NORTH IDAHO COLLEGE                                                    , ID ,838142199,Public," 1,951 "," 1,951 "," $6,834,273.00 "," 3,855 "," $3,628,085.00 ", 786 , 786 ," $3,619,536.00 "," 1,557 "," $1,929,499.00 ", -   , -   , $-   , -   , $-   , 11 , 11 ," $95,261.00 ", 11 ," $47,629.00 ", -   , -   , $-   , -   , $-   
00162400, NORTHWEST NAZARENE UNIVERSITY                                          , ID ,836865897,Private-Nonprofit, 767 , 769 ," $3,291,265.00 ", 768 ," $1,621,049.00 ", 786 , 786 ," $3,492,570.00 ", 785 ," $1,681,663.00 ", 529 , 529 ," $9,006,300.00 ", 523 ," $3,353,583.00 ", 86 , 90 ," $1,068,715.00 ", 91 ," $557,520.00 ", 18 , 18 ," $144,681.00 ", 17 ," $49,581.00 "
00162500, BRIGHAM YOUNG UNIVERSITY-IDAHO                                         , ID ,834601650,Private-Nonprofit," 4,471 "," 4,575 "," $17,307,294.00 "," 4,574 "," $9,200,644.00 "," 2,792 "," 2,891 "," $9,209,168.00 "," 2,888 "," $4,902,544.00 ", -   , -   , $-   , -   , $-   , 31 , 32 ," $125,925.00 ", 32 ," $66,520.00 ", -   , -   , $-   , -   , $-   
00162600, UNIVERSITY OF IDAHO                                                    , ID ,838444291,Public," 3,815 "," 3,815 "," $16,358,616.00 "," 3,987 "," $8,499,463.00 "," 3,668 "," 4,065 "," $16,450,638.00 "," 4,250 "," $8,586,471.00 ", 782 , 782 ," $13,287,151.00 ", 855 ," $6,946,351.00 ", 765 , 798 ," $9,243,082.00 ", 828 ," $4,801,156.00 ", 371 , 372 ," $4,994,719.00 ", 413 ," $2,599,149.00 "
00162800, AMERICAN ACADEMY OF ART                                                , IL ,606044302,Proprietary, 288 , 288 ," $1,235,982.00 ", 288 ," $634,815.00 ", 293 , 407 ," $1,252,003.00 ", 407 ," $641,899.00 ", -   , -   , $-   , -   , $-   , 95 , 97 ," $1,704,324.00 ", 97 ," $861,352.00 ", -   , -   , $-   , -   , $-   
00163200, AQUINAS INSTITUTE OF THEOLOGY                                          , MO ,631083323,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 18 , 18 ," $234,550.00 ", 19 ," $119,878.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00163300, AUGUSTANA COLLEGE                                                      , IL ,612012296,Private-Nonprofit," 1,420 "," 1,446 "," $6,173,463.00 "," 2,806 "," $4,159,452.00 "," 1,622 "," 1,861 "," $5,761,165.00 "," 3,616 "," $3,878,518.00 ", -   , -   , $-   , -   , $-   , 324 , 349 ," $4,683,946.00 ", 680 ," $3,176,194.00 ", -   , -   , $-   , -   , $-   
00163400, AURORA UNIVERSITY                                                      , IL ,605064892,Private-Nonprofit," 1,901 "," 1,901 "," $8,061,826.00 "," 2,111 "," $4,188,542.00 "," 1,951 "," 1,951 "," $8,447,307.00 "," 2,166 "," $4,471,455.00 ", 936 , 936 ," $12,116,726.00 "," 1,373 "," $6,530,508.00 ", 233 , 237 ," $2,169,955.00 ", 237 ," $1,163,058.00 ", 20 , 20 ," $116,982.00 ", 20 ," $61,406.00 "
00163600, SOUTHWESTERN ILLINOIS COLLEGE                                          , IL ,622215899,Public," 2,354 "," 2,355 "," $6,986,544.00 "," 2,426 "," $4,334,535.00 "," 1,902 "," 1,903 "," $7,251,409.00 "," 1,951 "," $4,476,626.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $15,857.00 ", 3 ," $8,900.00 ", -   , -   , $-   , -   , $-   
00163700, BETHANY THEOLOGICAL SEMINARY                                           , IN ,473744019,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 19 , 19 ," $190,671.00 ", 20 ," $104,074.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00163800, BLACK HAWK COLLEGE                                                     , IL ,612655899,Public, 510 , 533 ," $1,594,867.00 ", 579 ," $846,901.00 ", 464 , 495 ," $1,328,697.00 ", 533 ," $694,819.00 ", 1 , 1 ," $3,000.00 ", 1 ," $1,500.00 ", 12 , 12 ," $77,290.00 ", 13 ," $41,246.00 ", -   , -   , $-   , -   , $-   
00163900, BLACKBURN UNIVERSITY                                                   , IL ,626261498,Private-Nonprofit, 368 , 368 ," $1,545,133.00 ", 386 ," $786,826.00 ", 401 , 409 ," $1,452,895.00 ", 426 ," $737,025.00 ", -   , -   , $-   , -   , $-   , 44 , 45 ," $395,531.00 ", 46 ," $196,360.00 ", -   , -   , $-   , -   , $-   
00164000, PRAIRIE STATE COLLEGE                                                  , IL ,604118226,Public, 900 , 900 ," $3,224,094.00 ", 960 ," $1,682,805.00 ", 711 , 711 ," $2,933,365.00 ", 761 ," $1,515,127.00 ", 5 , 5 ," $35,649.00 ", 5 ," $17,824.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00164100, BRADLEY UNIVERSITY                                                     , IL ,616250002,Private-Nonprofit," 2,647 "," 2,649 "," $11,684,906.00 "," 2,653 "," $6,123,766.00 "," 2,767 "," 2,977 "," $9,349,019.00 "," 2,980 "," $4,863,761.00 ", 86 , 91 ," $1,332,059.00 ", 93 ," $725,179.00 ", 734 , 750 ," $12,648,799.00 ", 751 ," $6,738,137.00 ", 6 , 6 ," $70,186.00 ", 6 ," $39,093.00 "
00164300, SPOON RIVER COLLEGE                                                    , IL ,615208907,Public, 236 , 238 ," $746,847.00 ", 276 ," $424,428.00 ", 158 , 181 ," $495,093.00 ", 216 ," $285,246.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $39,000.00 ", 4 ," $19,500.00 ", -   , -   , $-   , -   , $-   
00164800, CITY COLLEGES OF CHICAGO HARRY S TRUMAN COLLEGE                        , IL ,606405691,Public, 700 , 701 ," $2,348,078.00 "," 1,305 "," $1,276,626.00 ", 285 , 285 ," $1,292,672.00 ", 512 ," $696,831.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00164900, RICHARD J DALEY COLLEGE-CITY COLLEGES OF CHICAGO                       , IL ,606521299,Public, 407 , 408 ," $1,331,720.00 ", 747 ," $732,767.00 ", 64 , 64 ," $230,582.00 ", 109 ," $116,784.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00165000, CITY COLLEGES OF CHICAGO - MALCOLM X COLLEGE                           , IL ,606123197,Public, 857 , 859 ," $2,792,840.00 "," 1,686 "," $1,542,773.00 ", 183 , 184 ," $643,099.00 ", 353 ," $362,382.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00165200, HAROLD WASHINGTON COLLEGE                                              , IL ,606012403,Public," 1,087 "," 1,087 "," $3,387,387.00 "," 2,160 "," $1,889,693.00 ", 323 , 323 ," $1,251,597.00 ", 635 ," $681,415.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00165400, CITY COLLEGES OF CHICAGO - KENNEDY KING COLLEGE                        , IL ,606213798,Public," 1,394 "," 1,396 "," $4,693,080.00 "," 2,766 "," $2,531,756.00 ", 558 , 562 ," $2,134,936.00 "," 1,117 "," $1,092,920.00 ", -   , -   , $-   , -   , $-   , 5 , 5 ," $64,852.00 ", 10 ," $61,902.00 ", -   , -   , $-   , -   , $-   
00165500, WILBUR WRIGHT COLLEGE                                                  , IL ,606341591,Public, 462 , 462 ," $1,471,814.00 ", 914 ," $807,997.00 ", 132 , 132 ," $470,526.00 ", 263 ," $247,841.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00165700, MIDWESTERN UNIVERSITY                                                  , IL ,605151200,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ," 2,315 "," 2,321 "," $82,562,358.00 "," 4,768 "," $55,537,953.00 ", -   , -   , $-   , -   , $-   ," 2,054 "," 2,229 "," $65,618,806.00 "," 4,397 "," $44,629,633.00 "
00165900, ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE                   , IL ,600643095,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 554 , 555 ," $18,817,039.00 "," 1,084 "," $12,521,618.00 ", -   , -   , $-   , -   , $-   , 443 , 458 ," $8,941,236.00 ", 875 ," $6,080,593.00 "
00166100, CHICAGO THEOLOGICAL SEMINARY                                           , IL ,606372902,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 79 , 82 ," $966,643.00 ", 87 ," $590,027.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $37,407.00 ", 2 ," $18,704.00 "
00166300, SPERTUS COLLEGE OF JUDAICA                                             , IL ,606051995,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 17 , 17 ," $333,892.00 ", 18 ," $144,849.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00166400, UNIVERSITY OF SAINT FRANCIS                                            , IL ,604356188,Private-Nonprofit, 977 , 985 ," $4,256,764.00 ", 985 ," $2,286,194.00 "," 1,096 "," 1,103 "," $5,235,747.00 "," 1,100 "," $2,817,298.00 ", 620 , 623 ," $9,416,747.00 ", 653 ," $3,751,572.00 ", 252 , 263 ," $3,016,041.00 ", 262 ," $1,626,205.00 ", 80 , 80 ," $1,600,100.00 ", 107 ," $808,765.00 "
00166500, COLUMBIA COLLEGE                                                       , IL ,606051996,Private-Nonprofit," 5,886 "," 6,353 "," $25,829,014.00 "," 6,346 "," $13,411,257.00 "," 6,209 "," 7,733 "," $25,103,896.00 "," 7,707 "," $13,125,366.00 ", 324 , 333 ," $6,263,267.00 ", 332 ," $2,870,657.00 "," 1,957 "," 2,167 "," $42,931,134.00 "," 2,165 "," $22,582,087.00 ", 140 , 166 ," $2,222,184.00 ", 164 ," $1,008,374.00 "
00166600, CONCORDIA UNIVERSITY                                                   , IL ,603051499,Private-Nonprofit," 1,021 "," 1,052 "," $4,214,878.00 "," 1,111 "," $2,276,300.00 "," 1,026 "," 1,181 "," $4,227,098.00 "," 1,233 "," $2,266,705.00 ", 739 , 792 ," $7,055,325.00 ", 837 ," $3,677,120.00 ", 157 , 173 ," $1,683,011.00 ", 182 ," $929,587.00 ", 7 , 7 ," $91,053.00 ", 7 ," $45,527.00 "
00166900, DANVILLE AREA COMMUNITY COLLEGE                                        , IL ,618325199,Public, 221 , 221 ," $596,540.00 ", 239 ," $342,967.00 ", 116 , 129 ," $339,635.00 ", 139 ," $189,015.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $15,500.00 ", 4 ," $10,000.00 ", -   , -   , $-   , -   , $-   
00167100, DEPAUL UNIVERSITY                                                      , IL ,606042287,Private-Nonprofit," 8,726 "," 8,831 "," $38,762,054.00 "," 15,347 "," $23,677,352.00 "," 8,392 "," 9,277 "," $34,107,488.00 "," 16,045 "," $20,440,455.00 "," 4,099 "," 4,223 "," $72,354,598.00 "," 6,731 "," $43,660,753.00 "," 2,588 "," 2,677 "," $54,217,357.00 "," 5,182 "," $35,365,058.00 "," 1,298 "," 1,450 "," $28,856,001.00 "," 2,107 "," $16,745,699.00 "
